state,all_adults,black,white,asian,long,lat,group,order,subregion
alabama,0.181,0.196,0.164,0,-87.462005615234375,30.389680862426758,1,1,NA
alabama,0.181,0.196,0.164,0,-87.48493194580078,30.37249183654785,1,2,NA
alabama,0.181,0.196,0.164,0,-87.52503204345703,30.37249183654785,1,3,NA
alabama,0.181,0.196,0.164,0,-87.53076171875,30.332386016845703,1,4,NA
alabama,0.181,0.196,0.164,0,-87.57086944580078,30.3266544342041,1,5,NA
alabama,0.181,0.196,0.164,0,-87.58805847167969,30.3266544342041,1,6,NA
alabama,0.181,0.196,0.164,0,-87.59378814697266,30.309467315673828,1,7,NA
alabama,0.181,0.196,0.164,0,-87.59378814697266,30.286548614501953,1,8,NA
alabama,0.181,0.196,0.164,0,-87.67400360107422,30.275089263916016,1,9,NA
alabama,0.181,0.196,0.164,0,-87.81151580810547,30.257902145385742,1,10,NA
alabama,0.181,0.196,0.164,0,-87.88026428222656,30.246440887451172,1,11,NA
alabama,0.181,0.196,0.164,0,-87.92037200927734,30.246440887451172,1,12,NA
alabama,0.181,0.196,0.164,0,-87.95475006103516,30.246440887451172,1,13,NA
alabama,0.181,0.196,0.164,0,-88.006317138671875,30.240713119506836,1,14,NA
alabama,0.181,0.196,0.164,0,-88.01777648925781,30.25217056274414,1,15,NA
alabama,0.181,0.196,0.164,0,-88.01204681396484,30.269359588623047,1,16,NA
alabama,0.181,0.196,0.164,0,-87.99485778808594,30.275089263916016,1,17,NA
alabama,0.181,0.196,0.164,0,-87.95475006103516,30.275089263916016,1,18,NA
alabama,0.181,0.196,0.164,0,-87.90318298339844,30.280820846557617,1,19,NA
alabama,0.181,0.196,0.164,0,-87.82869720458984,30.286548614501953,1,20,NA
alabama,0.181,0.196,0.164,0,-87.80005645751953,30.286548614501953,1,21,NA
alabama,0.181,0.196,0.164,0,-87.80005645751953,30.3266544342041,1,22,NA
alabama,0.181,0.196,0.164,0,-87.8172378540039,30.34384536743164,1,23,NA
alabama,0.181,0.196,0.164,0,-87.84015655517578,30.383953094482422,1,24,NA
alabama,0.181,0.196,0.164,0,-87.85162353515625,30.401142120361328,1,25,NA
alabama,0.181,0.196,0.164,0,-87.8745346069336,30.412599563598633,1,26,NA
alabama,0.181,0.196,0.164,0,-87.90318298339844,30.424060821533203,1,27,NA
alabama,0.181,0.196,0.164,0,-87.92610168457031,30.446979522705078,1,28,NA
alabama,0.181,0.196,0.164,0,-87.93183135986328,30.492813110351562,1,29,NA
alabama,0.181,0.196,0.164,0,-87.94329071044922,30.527193069458008,1,30,NA
alabama,0.181,0.196,0.164,0,-87.92037200927734,30.561569213867188,1,31,NA
alabama,0.181,0.196,0.164,0,-87.914642333984375,30.584487915039062,1,32,NA
alabama,0.181,0.196,0.164,0,-87.92610168457031,30.618864059448242,1,33,NA
alabama,0.181,0.196,0.164,0,-87.92037200927734,30.67043113708496,1,34,NA
alabama,0.181,0.196,0.164,0,-87.94902038574219,30.699077606201172,1,35,NA
alabama,0.181,0.196,0.164,0,-87.98912811279297,30.790752410888672,1,36,NA
alabama,0.181,0.196,0.164,0,-88.006317138671875,30.79648208618164,1,37,NA
alabama,0.181,0.196,0.164,0,-88.01777648925781,30.802209854125977,1,38,NA
